Disease,Resolution,Direction,CellType,Real_Score,P_Value,FDR_Adjusted_P
adhd,1000,Negative,astro_sig,0.0008557283239994,0.136,0.3331298969072165
adhd,1000,Negative,oligo_sig,0.0016408999415168,0.149,0.3580822656776803
adhd,1000,Negative,pericyte_sig,0.0022483684601041,0.159,0.3787941176470588
adhd,1000,Negative,l6_ct_sig,0.0010705848851688,0.304,0.616651109846329
adhd,1000,Negative,gad_sig,-0.0013793506114632,0.716,1.0
adhd,1000,Negative,lamp5_sig,-0.0015249100217713,0.877,1.0
adhd,1000,Negative,l4_it_sig,-0.0029434042479425,0.9,1.0
adhd,1000,Negative,vip_sig,-0.0029195579570991,0.955,1.0
adhd,1000,Negative,pvalb_expr,-0.0006862972212172,0.976,1.0
adhd,1000,Negative,pvalb_sig,-0.0006862972212172,0.976,1.0
adhd,1000,Negative,l2_3_it_sig,-0.0082699304486177,1.0,1.0
adhd,1000,Negative,l6_it_sig,-0.0074672033709727,1.0,1.0
adhd,1000,Positive,l6_it_sig,0.0052090623697495,0.0,0.0
adhd,1000,Positive,l2_3_it_sig,0.004669065712315,0.009,0.0302889518413597
adhd,1000,Positive,vip_sig,0.0013645837901922,0.145,0.3510733695652173
adhd,1000,Positive,l4_it_sig,0.0048841439070245,0.25,0.536101083032491
adhd,1000,Positive,lamp5_sig,0.0027888875367885,0.29,0.5960553633217993
adhd,1000,Positive,pericyte_sig,0.0001368883540211,0.482,0.866287443267776
adhd,1000,Positive,l5_it_sig,0.0003947592089962,0.533,0.9307261146496816
adhd,1000,Positive,astro_sig,-0.0002831532260811,0.571,0.9812169720347156
adhd,1000,Positive,opc_sig,0.0004657171840683,0.698,1.0
adhd,1000,Positive,oligo_sig,-0.0021034647545061,0.825,1.0
adhd,1000,Positive,l6_ct_sig,-0.0017306275034499,0.888,1.0
adhd,1000,Positive,gad_sig,-0.0027723031500473,0.982,1.0
adhd,1000,Positive,microglia_sig,-0.0027591938548236,1.0,1.0
adhd,1000,Positive,pvalb_expr,-0.0008102517955554,1.0,1.0
adhd,1000,Positive,pvalb_sig,-0.0008102517955554,1.0,1.0
adhd,1000,Positive,endothelial_sig,-0.0057333568077592,1.0,1.0
adhd,1000,Positive,sst_expr,-0.0061556139168503,1.0,1.0
adhd,1000,Positive,sst_sig,-0.0061556139168503,1.0,1.0
alzheimer,100,Negative,vip_sig,0.0262374118369548,0.0,0.0
alzheimer,100,Negative,lamp5_sig,0.0570370039022102,0.009,0.0302889518413597
alzheimer,100,Negative,opc_sig,0.022880808277254,0.19,0.4388593648736228
alzheimer,100,Negative,pvalb_expr,0.1214096454158541,0.243,0.5277586837294332
alzheimer,100,Negative,pvalb_sig,0.1214096454158541,0.243,0.5277586837294332
alzheimer,100,Negative,gad_sig,0.0007782108209938,0.258,0.548634844868735
alzheimer,100,Negative,l6_ct_sig,0.0037234863949759,0.356,0.6971340659340659
alzheimer,100,Negative,l6_it_sig,0.0117716200930496,0.52,0.913846153846154
alzheimer,100,Negative,pericyte_sig,-0.0057791239364269,0.653,1.0
alzheimer,100,Negative,oligo_sig,-0.0043277591029363,0.717,1.0
alzheimer,100,Negative,endothelial_sig,-0.0139597679002997,0.886,1.0
alzheimer,100,Negative,microglia_sig,0.0514704323335254,0.951,1.0
alzheimer,100,Negative,l4_it_sig,0.0208334756356715,0.992,1.0
alzheimer,100,Negative,l2_3_it_sig,-0.0238865685378341,0.999,1.0
alzheimer,100,Negative,sst_expr,0.0142796099575182,0.999,1.0
alzheimer,100,Negative,l5_it_sig,-0.0286517638363951,0.999,1.0
alzheimer,100,Negative,sst_sig,0.0142796099575182,0.999,1.0
alzheimer,100,Negative,astro_sig,0.010167485231194,1.0,1.0
alzheimer,100,Positive,l2_3_it_sig,0.0410884719465304,0.0,0.0
